
Albert, Einstein, 03-14-1879
Galileo, Galilei, 02-15-1564
Johannes, Kepler, 12-27-1571
Maxwell, James Clerk, 06-13-1831
Niels, Bohr, 10-07-1885
Erwin, Schrodinger, 08-12-1887
Max, Planck, 04-23-1858
Werner, Heisenberg, 12-05-1901
David, Hilbert, 01-23-1862
Pierre-Simon, Laplace, 03-23-1749
Gottfried, Leibniz, 07-01-1646
Rene, Descartes, 03-31-1596
Leonhard, Euler, 04-15-1707
Bernhard, Riemann,09-17-1826
Carl, Friedrich Gauss, 04-30-1777
Henri, Poincare, 04-29-1854
Alfred, North Whitehead, 02-15-1861
Bertrand, Russell, 05-18-1872
Georg, Cantor, 03-03-1845
Ludwig, Wittgenstein, 04-26-1889
Albert, Michelson,12-19-1852
Robert, Boyle,01-25-1627
Michael, Faraday,09-22-1791
James, Clerk Maxwell,06-13-1831
Georges, Lemaitre,07-17-1894
Max, Born,12-11-1882
Walther, Nernst,06-25-1864
Max, von Laue,10-09-1879
Ernest, Rutherford,08-30-1871
Arthur, Compton,09-10-1892
Niels, Bohr,10-07-1885
James, Chadwick,10-20-1891
